Category;Joke title;Joke; Rounded length of joke in tens of chars;;;
Animal;Pete Holmes: Picking Up a Dog;It's always a gamble, picking up a dog, because I'm never sure where they bend. It's never the same. Where do dogs bend? They're like rigid little furry tables. You got to go in like a fork lift and just take a chance. Once you're up in the air, you never know when is going to yield into that lowercase 'c' shape, with the a**hole right on your arm.;35;;;
Animal;Give the Dog a Bone;Q: How do you give a dog a bone?A: Tickle his balls.;5;;;
Animal;Rejected Greeting Card -- Sorry;I heard my tire thumping,  I thought it was flat.  When I looked at my tire  I discovered your cat.  Sorry...;11;;;
Animal;Of Mice and Men;"What do mice and men have in common?  
  They both run around hunting for holes!";8;;;
Animal;Rooster and a Telephone Pole;"Q: What do you get when you mix a rooster with a telephone pole?

 A: A 30-foot cock that helps you reach out and touch someone.";13;;;
Animal;Tatonka;"There  was an Indian chief who wanted to show his  son the way of the woods.  He gets on the ground  and hears a noise.

""Buffalo come.""

""How do you know?""

""Ground shaky.""   

The boy wanted to try.  He gets on the ground,   listens.  

""Man come.""

""Is there a vibration?""

""No.""    

""Then how do you know?""

""Ground sticky.""";33;;;
Animal;Time For a Get Together;"What time is it when 20 dogs and one cat get together?  
20 after one.";7;;;
Animal;Lucky MotherDucker;"Once there was a farmer.  He had two teenage sons.    This farmer had just inherited some of money from his brother's recent death.  He couldn't decide   which son he could send to college, since he could only afford to send one.  

This farmer also had two ducks.  These ducks were retarded.  They were only two ducks on the farm that weren't normal.  He told his sons that whoever could get the most money for the duck would go to college.  

The sons   went out in attempt to collect as much money as   they could.    The first son was walking down the street when he passed a man working in the yard.  The man asked him if the duck was for sale, for the man loved the taste of ducks.  He offered the son 10 dollars for his duck.  The son decided this was very good, so he took it.  He decided his brother wouldn't be able to get close to his success.

The second son was walking and passed a whorehouse.  He went in and said that he didn't have any money, but he would give them the duck.  One girl said fine. After they f**ked, she decided that she didn't want the duck anymore.  The son said he would take the duck back if they f**ked again.  She agreed.  After they f**ked the second time, the son left.  

He was walking home, thinking about what to do with the duck when it broke the leash.  The duck ran out into the street and was hit by a car.  The lady that hit it jumped from her car and started apologizing profusely.  The son insisted it was ok, but the lady said she would pay for the duck.  She was in a hurry, so she gave him 25 dollars and sped off.   

When the sons got home, the farmer asked the first son what he got.  He proudly displayed the 10 dollars.  The farmer was impressed.  He asked the second son the same thing.  

""That's nothing.  I got a f**k for a duck, a duck for a f**k, and 25 dollars for a f**ked up duck.""";185;;;
Animal;Sheep Boy;"A farmer finds a man screwing one of his sheep and a little boy watching.

He walks up to the boy and asks, ""Who's that screwing my sheep?""

The boy replies, ""That's my Daa-aa-aad.""";18;;;
Animal;Little Red Riding Hood;"Little Red Riding Hood was packing her things. Her mother asked, ""Where are you going, Lil' Red?"" 

Red said, ""To grandma's."" 

Her mother said, ""Okay, but watch out for the Big Bad Wolf. He'll pull up your little red dress, pull down your little red panties and freak your little red socks off."" 

Lil' Red replied, ""Don't worry, I've got a gun.""

So about a mile down the road, Lil' Red met the Three Little Pigs. They asked where she was going and she said, ""Grandma's house."" 

The Pigs warned, ""Watch out for the Big Bad Wolf. He'll pull up your little red dress, pull down your little red panties and freak your little red socks off!"" 

She told them,  ""Don't worry, I've got a gun.""

About two more miles down the road, the Big Bad Wolf leapt out of the forest and grabbed Lil' Red. He shouted ""Ha! I finally caught you!"" 

And she cried, ""Don't tell me you're gonna pull up my little red dress, pull down my little red panties and freak my little red socks off."" 

""Yes I am,"" said the Wolf, drooling. 

""No, you ain't,"" said Little Red. 

""What do you mean,"" said the Wolf, taken aback.

Lil' Red pulled up her little red dress, pulled down her little red panties, pulled out her big silver gun and said, ""Nope, you're gonna eat me like it says in the book.""";127;;;
